Feature,Coefficient,Abs_Coef,Direction,Rank
시가총액,11174.667598763224,11174.667598763224,↑ 양수 (높을수록 예측 종가 상승),1
Lag_1,-3056.7130666517387,3056.7130666517387,↓ 음수 (높을수록 예측 종가 하락),2
MA5,-1694.3263398425843,1694.3263398425843,↓ 음수 (높을수록 예측 종가 하락),3
종가,-1041.044829831722,1041.044829831722,↓ 음수 (높을수록 예측 종가 하락),4
Lag_2,924.6440410494358,924.6440410494358,↑ 양수 (높을수록 예측 종가 상승),5
저가,818.5007669520543,818.5007669520543,↑ 양수 (높을수록 예측 종가 상승),6
고가,816.8633325292162,816.8633325292162,↑ 양수 (높을수록 예측 종가 상승),7
Lag_3,655.6535423524135,655.6535423524135,↑ 양수 (높을수록 예측 종가 상승),8
거래대금,-332.0830567320176,332.0830567320176,↓ 음수 (높을수록 예측 종가 하락),9
거래량,260.03956419715416,260.03956419715416,↑ 양수 (높을수록 예측 종가 상승),10
Return,-210.13435858812372,210.13435858812372,↓ 음수 (높을수록 예측 종가 하락),11
Lag_5,186.46142797632243,186.46142797632243,↑ 양수 (높을수록 예측 종가 상승),12
상장주식수,-105.79557785380825,105.79557785380825,↓ 음수 (높을수록 예측 종가 하락),13
MA20,-74.59141180695137,74.59141180695137,↓ 음수 (높을수록 예측 종가 하락),14
시가,67.84356180451495,67.84356180451495,↑ 양수 (높을수록 예측 종가 상승),15
Price_range,44.06947611394669,44.06947611394669,↑ 양수 (높을수록 예측 종가 상승),16
Volatility,32.64881726774407,32.64881726774407,↑ 양수 (높을수록 예측 종가 상승),17
