Feature,Coefficient,Abs_Coef,Direction,Rank
시가총액,11614.3795048786,11614.3795048786,↑ 양수,1
종가,-4808.469440733515,4808.469440733515,↓ 음수,2
고가,1875.5325149747794,1875.5325149747794,↑ 양수,3
저가,504.5800147385262,504.5800147385262,↑ 양수,4
거래대금,-352.1960577077165,352.1960577077165,↓ 음수,5
시가,-318.58658384303544,318.58658384303544,↓ 음수,6
거래량,295.1868554872171,295.1868554872171,↑ 양수,7
대비,285.1099767567839,285.1099767567839,↑ 양수,8
등락률,-167.83840745156883,167.83840745156883,↓ 음수,9
상장주식수,-110.50336883236946,110.50336883236946,↓ 음수,10
