Feature,Coefficient,Abs_Coef,Rank
MarketCap,9335.381096096184,9335.381096096184,1
Close,-1954.308090552768,1954.308090552768,2
High,1575.8898266112571,1575.8898266112571,3
Low,-740.7990092007753,740.7990092007753,4
Open,577.0587333737096,577.0587333737096,5
MA_20,-297.77469361524345,297.77469361524345,6
Change,248.07464269116736,248.07464269116736,7
TradingValue,-156.79704481201622,156.79704481201622,8
Close_MA20_Ratio,-143.68947205711078,143.68947205711078,9
Return,-106.22583653212274,106.22583653212274,10
SharesOutstanding,-95.0233544811972,95.0233544811972,11
Volume,87.41761294404088,87.41761294404088,12
Volatility_20,-46.69195987764084,46.69195987764084,13
