Date,Step,Close_pred,Change_pred,Return_pred,Open_pred,High_pred,Low_pred,Volume_pred,TradingValue_pred,MarketCap_pred,SharesOutstanding_pred,MA_20_pred,Volatility_20_pred,Close_MA20_Ratio_pred,Close_actual
2025-05-02,0,55440.149944733326,-36.07486652755814,-0.05884444589244338,55397.89569164711,56045.75396348552,54971.670626343956,14226942.556840649,775258976258.5906,328322300637154.75,5919620048.603986,55374.734099912755,0.022979702245817323,1.0010372160537266,54600
2025-05-07,1,55448.87362330627,7.490472501475903,0.03208092983045514,55424.48188672695,56118.20326685895,54935.704405587254,15472969.449204559,848795304747.4843,328365486512994.06,5919615122.175463,55370.31163687023,0.022991852134160714,1.001210635560541,54600
2025-05-08,2,55468.971971369894,19.698786947134348,0.05537829688150776,55448.472313322505,56161.881389767485,54940.310386435514,16274278.285157304,898701074504.6595,328481167674196.9,5919603729.544534,55367.62083714194,0.02306012093112031,1.0015801290212478,54800
2025-05-09,3,55488.72793107466,20.299278568923224,0.05769153889200769,55471.74450618415,56195.832441827166,54953.69576695801,16779691.156914636,930682280899.2802,328600450192536.8,5919592501.870765,55366.70523457185,0.02315044155171361,1.0019246928120518,57600
2025-05-12,4,55507.0654370492,18.829161009136815,0.05602917889294978,55493.22704231357,56223.76196196987,54968.52149002548,17098674.251267217,950990056752.3549,328711031390057.5,5919582334.892468,55367.386586892,0.023251001453006903,1.0022221895645036,56900
2025-05-13,5,55523.8782664172,17.164463727137484,0.05375692579422288,55512.59872070431,56247.187763432645,54982.95620993136,17301448.263940424,963973186779.6243,328811740935625.6,5919573042.764688,55369.322975306815,0.02335591837723857,1.0024741813265734,57400
2025-05-14,6,55539.18873742174,15.558841297062,0.051419516084174444,55530.0193319368,56267.19736181802,54996.51541712005,17431773.341667175,972383437060.8547,328902919017590.9,5919564406.919778,55372.21561975496,0.0234617212659712,1.002685037394342,57300
2025-05-15,7,55553.05085947667,14.046097616769682,0.04914420950105279,55545.6610617159,56284.53506410115,55009.0136845559,17516998.314464916,977942676299.1385,328985109338360.56,5919556250.131215,55375.82525232779,0.023566336265188732,1.002859230725625,56800
2025-05-16,8,55565.53619850876,12.631049910506686,0.04698126121478807,55559.67836706227,56299.71117883893,55020.38199463328,17574235.39734634,981727107366.7607,329058886273173.1,5919548433.39402,55379.95949813761,0.023668554918006512,1.0030010289745694,55800
2025-05-19,9,55576.724997723,11.312477613667529,0.0449533938425184,55572.20844651073,56313.08253457489,55030.6136869739,17614178.307966113,984408682662.9772,329124818479825.1,5919540846.96455,55384.46145013456,0.023767707530308352,1.0031144003374564,55900
